
--- Simulation Session Started at 2026-09-23 20:01:37.891328 ---
=== RIGOROUS COLLATZ ENGINE INITIALIZED ===

=== RIGOROUS EXPONENTIAL SCALE COLLATZ ENGINE ===
Running with strict modular math and exponent scale tracking...
Press Ctrl+C to stop anytime.
Elapsed: 4s | Steps: 845000000 | Audits: 0 | Exp Scale 2^: ~34.1681 bits
Elapsed: 4s | Steps: 846000000 | Audits: 0 | Exp Scale 2^: ~3.45943 bits
Elapsed: 5s | Steps: 847000000 | Audits: 0 | Exp Scale 2^: ~10.2912 bits
Elapsed: 5s | Steps: 851000000 | Audits: 0 | Exp Scale 2^: ~3.45943 bits
Elapsed: 5s | Steps: 859000000 | Audits: 0 | Exp Scale 2^: ~8.73132 bits
Elapsed: 5s | Steps: 861000000 | Audits: 0 | Exp Scale 2^: ~8.55842 bits
Elapsed: 5s | Steps: 865000000 | Audits: 0 | Exp Scale 2^: ~35.2019 bits
Elapsed: 5s | Steps: 875000000 | Audits: 0 | Exp Scale 2^: ~42.029 bits
Elapsed: 5s | Steps: 879000000 | Audits: 0 | Exp Scale 2^: ~10.4605 bits
Elapsed: 5s | Steps: 880000000 | Audits: 0 | Exp Scale 2^: ~35.3966 bits
Elapsed: 5s | Steps: 885000000 | Audits: 0 | Exp Scale 2^: ~8.75822 bits
Elapsed: 5s | Steps: 890000000 | Audits: 0 | Exp Scale 2^: ~12.0812 bits
Elapsed: 5s | Steps: 900000000 | Audits: 0 | Exp Scale 2^: ~35.9779 bits
Elapsed: 5s | Steps: 902000000 | Audits: 0 | Exp Scale 2^: ~28.6082 bits
Elapsed: 5s | Steps: 908000000 | Audits: 0 | Exp Scale 2^: ~23.2192 bits
Elapsed: 5s | Steps: 911000000 | Audits: 0 | Exp Scale 2^: ~16.3027 bits
Elapsed: 5s | Steps: 913000000 | Audits: 0 | Exp Scale 2^: ~34.2798 bits
Elapsed: 5s | Steps: 918000000 | Audits: 0 | Exp Scale 2^: ~39.9478 bits
Elapsed: 5s | Steps: 926000000 | Audits: 0 | Exp Scale 2^: ~22.1694 bits
Elapsed: 5s | Steps: 930000000 | Audits: 0 | Exp Scale 2^: ~18.2929 bits
Elapsed: 5s | Steps: 932000000 | Audits: 0 | Exp Scale 2^: ~44.6493 bits
Elapsed: 5s | Steps: 938000000 | Audits: 0 | Exp Scale 2^: ~32.4165 bits
Elapsed: 5s | Steps: 957000000 | Audits: 0 | Exp Scale 2^: ~35.3672 bits
Elapsed: 5s | Steps: 961000000 | Audits: 0 | Exp Scale 2^: ~9.21189 bits
Elapsed: 5s | Steps: 967000000 | Audits: 0 | Exp Scale 2^: ~2.32193 bits
Elapsed: 5s | Steps: 969000000 | Audits: 0 | Exp Scale 2^: ~28.1431 bits
Elapsed: 5s | Steps: 974000000 | Audits: 0 | Exp Scale 2^: ~28.0002 bits
Elapsed: 5s | Steps: 976000000 | Audits: 0 | Exp Scale 2^: ~12.1926 bits
Elapsed: 5s | Steps: 982000000 | Audits: 0 | Exp Scale 2^: ~19.633 bits
Elapsed: 5s | Steps: 995000000 | Audits: 0 | Exp Scale 2^: ~42.064 bits
Elapsed: 5s | Steps: 1005000000 | Audits: 0 | Exp Scale 2^: ~22.7446 bits
Elapsed: 5s | Steps: 1012000000 | Audits: 0 | Exp Scale 2^: ~10.6609 bits
Elapsed: 6s | Steps: 1019000000 | Audits: 0 | Exp Scale 2^: ~24.4578 bits
Elapsed: 6s | Steps: 1025000000 | Audits: 0 | Exp Scale 2^: ~35.7866 bits
Elapsed: 6s | Steps: 1028000000 | Audits: 0 | Exp Scale 2^: ~7.45121 bits
Elapsed: 6s | Steps: 1030000000 | Audits: 0 | Exp Scale 2^: ~8.26209 bits
Elapsed: 6s | Steps: 1036000000 | Audits: 0 | Exp Scale 2^: ~10.7541 bits
Elapsed: 6s | Steps: 1039000000 | Audits: 0 | Exp Scale 2^: ~5.72792 bits
Elapsed: 6s | Steps: 1042000000 | Audits: 0 | Exp Scale 2^: ~24.4569 bits
Elapsed: 6s | Steps: 1043000000 | Audits: 0 | Exp Scale 2^: ~39.1124 bits
Elapsed: 6s | Steps: 1044000000 | Audits: 0 | Exp Scale 2^: ~5.35755 bits
